,Date,Open,High,Low,Close,Volume,Company
110,8-Feb-18,267.08,267.62,250,250.1,9306701,netflix
111,9-Feb-18,253.85,255.8,236.11,249.47,16906942,netflix
112,12-Feb-18,252.14,259.15,249,257.95,8534906,netflix
113,13-Feb-18,257.29,261.41,254.7,258.27,6855151,netflix
114,14-Feb-18,260.47,269.88,260.33,266,10971985,netflix
115,15-Feb-18,270.03,280.5,267.63,280.27,10759667,netflix
116,16-Feb-18,278.73,281.96,275.69,278.52,8312380,netflix
117,20-Feb-18,277.74,285.81,276.61,278.55,7769023,netflix
118,21-Feb-18,282.07,286.64,280.01,281.04,9371121,netflix
119,22-Feb-18,283.88,284.5,274.45,278.14,8891535,netflix
120,23-Feb-18,281,286,277.81,285.93,7301809,netflix
121,26-Feb-18,288.75,295.65,287.01,294.16,10268633,netflix
122,27-Feb-18,294.77,297.36,290.59,290.61,9416489,netflix
123,28-Feb-18,293.1,295.75,290.78,291.38,7653454,netflix
124,1-Mar-18,292.75,295.25,283.83,290.39,11932051,netflix
125,2-Mar-18,284.65,301.18,283.23,301.05,13345313,netflix
126,5-Mar-18,302.85,316.91,297.6,315,18986099,netflix
127,6-Mar-18,319.88,325.79,316.5,325.22,18525844,netflix
128,7-Mar-18,320,323.74,314.55,321.16,17132222,netflix
129,8-Mar-18,322.2,322.92,314.13,317,11340066,netflix
130,9-Mar-18,321.33,331.44,320.23,331.44,14500219,netflix
131,12-Mar-18,333.56,333.98,318.6,321.3,20265182,netflix
132,13-Mar-18,323.87,325.84,313.28,315.88,12917224,netflix
133,14-Mar-18,318.16,323.88,317.7,321.55,10475073,netflix
134,15-Mar-18,323.17,323.4,318.14,321.09,5642883,netflix
135,10-Jan-18,173.16,174.3,173,174.29,23959895,aaple
136,11-Jan-18,174.59,175.49,174.49,175.28,18667729,aaple
137,12-Jan-18,176.18,177.36,175.65,177.09,25418080,aaple
138,16-Jan-18,177.9,179.39,176.14,176.19,29565947,aaple
139,17-Jan-18,176.15,179.25,175.07,179.1,34386836,aaple
140,18-Jan-18,179.37,180.1,178.25,179.26,31193352,aaple
141,19-Jan-18,178.61,179.58,177.41,178.46,32425067,aaple
142,22-Jan-18,177.3,177.78,176.6,177,27108551,aaple
143,23-Jan-18,177.3,179.44,176.82,177.04,32689146,aaple
144,24-Jan-18,177.25,177.3,173.2,174.22,51105090,aaple
145,25-Jan-18,174.5,174.95,170.53,171.11,41529004,aaple
146,26-Jan-18,172,172,170.06,171.51,39143011,aaple
147,29-Jan-18,170.16,170.16,167.07,167.96,50640406,aaple
148,30-Jan-18,165.52,167.37,164.7,166.97,46048185,aaple
149,31-Jan-18,166.87,168.44,166.5,167.43,32478930,aaple
150,1-Feb-18,167.16,168.62,166.76,167.78,47230787,aaple
151,2-Feb-18,166,166.8,160.1,160.5,86593825,aaple
152,5-Feb-18,159.1,163.88,156,156.49,72738522,aaple
153,6-Feb-18,154.83,163.72,154,163.03,68243838,aaple
154,7-Feb-18,163.08,163.4,159.07,159.54,51608580,aaple
155,8-Feb-18,160.29,161,155.03,155.15,54390516,aaple
156,9-Feb-18,157.07,157.89,150.24,156.41,70672608,aaple
157,12-Feb-18,158.5,163.89,157.51,162.71,60819539,aaple
158,13-Feb-18,161.95,164.75,161.65,164.34,32549163,aaple
159,14-Feb-18,163.04,167.54,162.88,167.37,40644933,aaple
160,15-Feb-18,169.79,173.09,169,172.99,51147171,aaple
161,16-Feb-18,172.36,174.82,171.77,172.43,40176091,aaple
162,20-Feb-18,172.05,174.26,171.42,171.85,33930540,aaple
163,21-Feb-18,172.83,174.12,171.01,171.07,37471623,aaple
164,22-Feb-18,171.8,173.95,171.71,172.5,30991940,aaple
165,23-Feb-18,173.67,175.65,173.54,175.5,33812360,aaple
166,26-Feb-18,176.35,179.39,176.21,178.97,38162174,aaple
167,27-Feb-18,179.1,180.48,178.16,178.39,38928125,aaple
168,28-Feb-18,179.26,180.62,178.05,178.12,37782138,aaple
169,1-Mar-18,178.54,179.78,172.66,175,48801970,aaple
170,2-Mar-18,172.8,176.3,172.45,176.21,38453950,aaple
171,5-Mar-18,175.21,177.74,174.52,176.82,28401366,aaple
172,6-Mar-18,177.91,178.25,176.13,176.67,23788506,aaple
173,7-Mar-18,174.94,175.85,174.27,175.03,31703462,aaple
174,8-Mar-18,175.48,177.12,175.07,176.94,23774107,aaple
175,9-Mar-18,177.96,180,177.39,179.98,32185162,aaple
176,12-Mar-18,180.29,182.39,180.21,181.72,32162518,aaple
177,13-Mar-18,182.59,183.5,179.24,179.97,31693529,aaple
178,14-Mar-18,180.32,180.52,177.81,178.44,29368356,aaple
179,15-Mar-18,178.5,180.24,178.07,178.65,22743798,aaple
